start	target	type
Computer Animation 1995	Andrew Witkin	awarded
World Wide Web 1995	Chris Mutter	awarded
Computer Music 1997	Mark Wingate	awarded
Interactive Art 2009	Hideyuki Ando	awarded
Computer Animation 1988	John Fekner	awarded
Computer Animation 1988	John Lasseter	awarded
Christopher Lindinger	u19 – freestyle computing 2009	jurymember in
Interactive Art 2005	Dirk Eijsbouts	awarded
Jean-Baptiste Barrière	Computer Music 1990	jurymember in
Rogelio Sosa	Digital Musics 2009	jurymember in
Roy Ascott	Interactive Art 1991	jurymember in
Computer Animation 1990	Dennis Muren	awarded
Yuko Nexus 6	Digital Musics 2006	jurymember in
u19 - freestyle computing 2007	Lukas Standfest	awarded
.net 2000	Sharon Denning	awarded
Computer Graphics 1991	John Hersey	awarded
u19 - freestyle computing 2006	Gruppe Piep, Diehlgasse	awarded
Hybrid Art 2007	Evelina Domnitch	awarded
Net Vision / Net Excellence 2002	Hi-Res!	awarded
Net Vision 2005	Jonathan Harris	awarded
Computer Graphics 1987	Midnight Movie Group	awarded
Interactive Art 1990	Benjamin Jay Britton	awarded
Computer Animation 1990	Rebecca Allen	awarded
[the next idea] Art and Technology Grant 2009	Tatsuya Narita	awarded
Computer Animation / Visual Effects 2000	Steven Schweickart	awarded
Computer Animation / Visual Effects 1998	Stefan Smith	awarded
Hiroshi Ishii	Interactive Art 2007	jurymember in
u19-freestyle computing 2004	Christoph Wiesner	awarded
Computer Animation / VFX / Film 2007	Samuel Tourneux	awarded
Tony Herrington	Digital Musics 2002	jurymember in
Net Vision 2006	AND-OR	awarded
Computer Animation/Visual Effects 2005	Koji Yamada	awarded
Hybrid Art 2009	Justin Manor	awarded
Gerhard Johann Lischka	Computer Graphics 1990	jurymember in
Interactive Art 2001	Magali Desbazeille	awarded
Net Vision / Net Excellence 2002	Harper Reed	awarded
Donna Cox	Interactive Art 1990	jurymember in
Gerhard Johann Lischka	Computer Graphics 1991	jurymember in
Computer Animation / Visual Effects 2003	Wayne Lytle	awarded
u19 – freestyle computing 2009	Volksschule Neußerling	awarded
Computer Animation 1996	Pierre Buffin	awarded
Michael Naimark	Interactive Art 1997	jurymember in
Interactive Art 1995	Mogens Jacobsen	awarded
Interactive Art 1995	Asuhiko Ando	awarded
Jens Hauser	Hybrid Art 2008	jurymember in
Johnie Hugh Horn	Interactive Art 1994	jurymember in
Computer Graphics 1989	Micha Riss	awarded
Computer Animation / Visual Effects 1999	Jun Asakawa	awarded
cybergeneration-u19 freestyle computing 1998	3A Klasse, Volksschule Vereinsgasse, Vienna	awarded
cybergeneration-u19 freestyle computing 2002	Markus Murschitz	awarded
Net Vision 2004	Marcos Weskamp	awarded
.net 1997	Hermann-Josef Hack	awarded
.net 1999	Shohei Matsukawa	awarded
Digital Musics 2001	kid606	awarded
Interactive Art 2001	Hiroo Iwata	awarded
Hybrid Art 2007	Masaki Fujihata	awarded
Computer Graphics 1987	Roland Stephan	awarded
Sirikit Amann	cybergeneration-u19 freestyle computing 2003	jurymember in
Digital Musics 2005	Skoltz_Kolgen	awarded
Computer Animation 1993	Bruno Simon	awarded
Computer Animation 1989	Michael Girard	awarded
Naut Humon	Digital Musics 2005	jurymember in
.net 1998	Koji Ito	awarded
Computer Animation 1991	Maurice Benayoun	awarded
Digital Musics 2003	Toshimura Nakamura	awarded
[the next idea] Art- and Technology Grant 2004	Satoshi Shibata	awarded
Computer Animation / Visual Effects 1999	Computer Film Company	awarded
Interactive Art 1996		awarded
Computer Animation 1995	Medialab	awarded
Toni Verita	Computer Graphics 1988	jurymember in
Computer Animation / Film / VFX 2009	Andrew Stanton	awarded
Digital Musics 2009	So Kanno	awarded
Norman Filz	cybergeneration-u19 freestyle computing 1998	jurymember in
Computer Animation 1996	Denise Minter	awarded
u19-freestyle computing 2005	Sarah Lene Shirin Fürst	awarded
u19 - freestyle computing 2008	Susanne Legerer	awarded
Computer Animation / Visual Effects 2001	Nicolas Launay	awarded
Hans Wu	cybergeneration-u19 freestyle computing 2000	jurymember in
Computer Graphics 1993	Jolanta Makowska	awarded
Interactive Art 2001	Adrian Ward	awarded
Computer Graphics 1990	Sandra Filippucci	awarded
Computer Animation / Visual Effects 2000	Manfred Laumer	awarded
Interactive Art 1992	Troy Innocent	awarded
Interactive Art 2007	Brian Knep	awarded
Interactive Art 1995	Lynn Hershman	awarded
Computer Music 1997	Robert Normandeau	awarded
Interactive Art 2004	James Auger	awarded
u19 - freestyle computing 2006	Thomas Hainscho	awarded
Rupert Huber	Digital Musics 2007	jurymember in
u19 - freestyle computing 2007	Nela Pichl	awarded
Computer Animation / Visual Effects 1999	Bob Sabiston	awarded
Joachim Sauter	Interactive Art 2000	jurymember in
Interactive Art 2009	Daniel Sauter	awarded
Computer Animation / Visual Effects 2004	Christophe Stampe	awarded
Computer Music 1988	Adelhard Roidinger	awarded
Digital Musics 2009	Joe Diebes	awarded
Charles Amirkhanian	Computer Music 1993	jurymember in
cybergeneration-u19 freestyle computing 1998	Helmut Klinger	awarded
Net Vision 2005	The Institute for Applied Autonomy	awarded
Lars-Gunnar Bodin	Computer Music 1995	jurymember in
Barbara Robertson	Computer Animation / Visual Effects 2000	jurymember in
Computer Animation 1994	Eihachiro Nakamae	awarded
Computer Animation/Visual Effects 2006	Marie Hyon	awarded
u19 - freestyle computing 2007	Leonhard Hauptfeld	awarded
Computer Graphics 1989	Teresa Wennberg	awarded
Computer Animation / VFX / Film 2007	Barna Buza	awarded
Digital Musics 2003	Gert-Jan Prins	awarded
Computer Graphics 1989	Thomas Bayrle	awarded
Computer Animation 1991	Richard Wright	awarded
Computer Animation 1992	Dennis Muren	awarded
Digital Communities 2006	CEMINA	awarded
Interactive Art 2006	Arijana Kajfes	awarded
Computer Music 1993	David Chesworth	awarded
u19 – freestyle computing 2009	Michael Kappel	awarded
u19 - freestyle computing 2007	Barbara Wallner	awarded
Computer Graphics 1987	Melissa White	awarded
u19 – freestyle computing 2009	Andreas Mursch-Radlgruber	awarded
Reinhold Friedl	Digital Musics 2001	jurymember in
Interactive Art 1992	Luc Courchesne	awarded
Computer Animation / VFX / Film 2007	Kylie Matulick	awarded
Interactive Art 2006	the agents of the G.R.L.	awarded
Interactive Art 1999	Russet Lederman	awarded
Computer Animation 1993	Darrin Butts	awarded
Digital Musics 2006	Annette Works	awarded
Computer Music 1997	Joseph Hyde	awarded
Interactive Art 1997	Marita Liulia	awarded
Digital Musics 2006	Mike Harding	awarded
u19-freestyle computing 2005	Sonja Vrisk	awarded
Interactive Art 1996		awarded
u19-freestyle computing 2004	Mathias Kuntner	awarded
Computer Music 1988	Trevor Wishart	awarded
Computer Animation 1993	Anton Roebben	awarded
Computer Music 1989	Viola Kramer	awarded
Computer Animation 1990	Steve Goldberg	awarded
Hybrid Art 2007	Paul Vanouse	awarded
Boo Wong	Computer Animation/Visual Effects 2005	jurymember in
Computer Music 1994	Juliet Kiri Palmer	awarded
Computer Animation/Visual Effects 2005	Chris Wedge	awarded
Computer Graphics 1988	Roman Tomaschitz	awarded
Computer Animation / Visual Effects 1998	Nelson Max	awarded
Computer Animation / Visual Effects 2001	Andrew Jones	awarded
Interactive Art 2008	Tsutomu Mutoh	awarded
Interactive Art 2008	Julian Oliver	awarded
cybergeneration-u19 freestyle computing 1999	Stefan Trischler	awarded
Interactive Art 2001	Frank Fietzek	awarded
.net 2000	Gavin Bailey	awarded
Computeranimation / Visual Effects 2002	Hiroshi Chida	awarded
cybergeneration-u19 freestyle computing 1998		awarded
Media.Art.Research Award 2007	Geert Lovink	awarded
Rupert Huber	Digital Musics 2009	jurymember in
Interactive Art 2006	Max Dean	awarded
Computer Music 1997	Annie Gosfield	awarded
Computer Animation / VFX / Film 2007	Vanessa Marzaroli	awarded
Interactive Art 1995	Rolf Schmidt	awarded
Toni Verita	Computer Animation 1987	jurymember in
Computer Animation / Film / VFX 2009		awarded
Digital Communities 2004	Kythera-Family.net	awarded
Computer Animation / Visual Effects 2004	Markus Bledowski	awarded
Computer Animation/Visual Effects 2006	Paul Jacamon	awarded
Interactive Art 1996	Masaki Fujihata	awarded
Masaki Fujihata	Interactive Art 2001	jurymember in
Computer Music 1995	Gilles Gobeil	awarded
Alfred Nemeczek	Computer Animation 1989	jurymember in
Florian Rötzer	Interactive Art 1992	jurymember in
Kaffe Matthew	Digital Musics 2001	jurymember in
Interactive Art 1997	Tamio Kihara	awarded
Computer Graphics 1992	Joszef Bullas	awarded
Computer Animation 1992	Jerzy Kular	awarded
Lucy Petrovich	Computer Animation 1994	jurymember in
Computer Graphics 1989	Kenneth Snelson	awarded
Interactive Art 1994	Laurent Mignonneau	awarded
u19-freestyle computing 2004	Gottfried Haider	awarded
Digital Musics 2007	Robert Henke	awarded
Digital Musics 2006	Josef Novotny	awarded
cybergeneration-u19 freestyle computing 1998	Markus Strahlhofer	awarded
Interactive Art 2006	Evan Roth	awarded
Interactive Art 1999	Simon Penny	awarded
Brian Reffin Smith	Interactive Art 1991	jurymember in
u19 - freestyle computing 2006	Fabian Guschlbauer	awarded
Digital Communities 2006	UgaBYTES Initiative	awarded
u19-freestyle computing 2005	Andreas Reh	awarded
Computer Music 1992	Michael Rosas-Cobian	awarded
Computer Graphics 1994	Stewart McSherry	awarded
Interactive Art 1996	Harwood	awarded
Computer Animation 1994	Yoichiro Kawaguchi	awarded
Digital Musics 2004	Jo Kazuhiro	awarded
Vladimir Galaktionov	Computer Graphics 1993	jurymember in
u19 - freestyle computing 2006	Julius Paul Lugmayr	awarded
Computer Animation/VFX/Film 2008	Helen Evans	awarded
Digital Musics 2009	Formant Brothers	awarded
Digital Communities 2004	iCan	awarded
Digital Musics 2000	Erik Wiegand	awarded
Computer Animation/VFX/Film 2008	Mark Formanek	awarded
Computer Animation / Visual Effects 2001	Benjamin Lauwick	awarded
Computer Music 1995	Agostino Di Scipio	awarded
Computer Music 1998	David Behrman	awarded
Interactive Art 1996	Michel Redolfi	awarded
cybergeneration-u19 freestyle computing 2001	Philipp Strahl	awarded
Digital Musics 2000		awarded
cybergeneration-u19 freestyle computing 2000	Alexander Fischl	awarded
Hybrid Art 2009	Dr. Nathan Scott & Brett Murray in collaboration with Dr. Steve Potter Lab	awarded
Interactive Art 1992	Hans Reiser	awarded
Digital Musics 2003	Rachael Kozak	awarded
Computer Animation / Visual Effects 2001	Alain Escalle	awarded
Interactive Art 2007	Leon Cmielewski	awarded
Computer Animation / Visual Effects 2000	Pierre Buffin	awarded
Interactive Art 1993	Jill Scott	awarded
Cory Doctorow	Digital Communities 2004	jurymember in
Digital Musics 2005	shiin	awarded
Interactive Art 2005	Marnix de Nijs	awarded
cybergeneration-u19 freestyle computing 2001	Tanja Payerl	awarded
u19 - freestyle computing 2006	Markus Weber	awarded
.net 2000	Kensuke Sembo	awarded
A. J. Mitchell	Computer Animation 1992	jurymember in
Computer Animation / Visual Effects 2001	Robert Seidel	awarded
Computer Animation/Visual Effects 2006	onyx films	awarded
Computer Music 1987	Michela Mollia	awarded
Interactive Art 1999	Laurent Mignonneau	awarded
Horst Hörtner	[the next idea] Art- and Technology Grant 2004	jurymember in
u19 - freestyle computing 2007	Stephan Hamberger	awarded
Interactive Art 2006	Andre Stubbe	awarded
A. J. Mitchell	Computer Graphics 1991	jurymember in
Computer Graphics 1991	Bill Woodard	awarded
.net 1998	Kazuhiko Hachiya	awarded
Computer Animation/VFX/Film 2008	Harun Farocki	awarded
Christiane Paul	Interactive Art 2003	jurymember in
Hubert Bognermayr	Computer Music 1988	jurymember in
Computer Music 1997	Charles Kriel	awarded
Interactive Art 2006	James Powderly	awarded
Charles Amirkhanian	Computer Music 1992	jurymember in
[the next idea] Art- and Technology Grant 2005	Martin Mairinger	awarded
Sirikit Amann	u19 - freestyle computing 2007	jurymember in
Interactive Art 2006	Raffaello D&	awarded
Interactive Art 1996	Bill Vorn	awarded
Computer Animation/VFX/Film 2008	Theo Humphries	awarded
Mitsuhiro Takemura	World Wide Web 1995	jurymember in
Computer Animation 1996	Philippe Billion	awarded
Alfred Nemeczek	Computer Graphics 1988	jurymember in
Computer Music 1997	Michel Redolfi	awarded
u19-freestyle computing 2004	Tobias Schererbauer	awarded
Computer Music 1997	Jacob Ter Veldhuis	awarded
Net Vision 2005	Alex Jarrett	awarded
Gerhard Johann Lischka	Computer Animation 1990	jurymember in
Peter Higgins	Interactive Art 2000	jurymember in
Computer Animation 1997		awarded
World Wide Web 1996	Masaki Fujihata	awarded
Rainer Zendron	u19 - freestyle computing 2007	jurymember in
Interactive Art 2001	Ken Rinaldo	awarded
Computer Animation/Visual Effects 2006	The Orphanage	awarded
Digital Musics 2002	Kristian Vester	awarded
Interactive Art 1994	George Legrady	awarded
Computer Animation / Visual Effects 2003	Roger Gould	awarded
Computer Animation/VFX/Film 2008	Charlie Todd	awarded
Computer Animation/Visual Effects 2005	Blue Sky Studios	awarded
Florian Hecker	Digital Musics 2002	jurymember in
Digital Musics 2005	Yoshimitsu Ichiraku	awarded
cybergeneration-u19 freestyle computing 2000	Thomas Köckerbauer	awarded
Computer Animation / VFX / Film 2007	Claude Chabot	awarded
Hubert Bognermayr	Computer Music 1989	jurymember in
Karin Spaink	.net 1997	jurymember in
World Wide Web 1995	Andrew Anker	awarded
Stephen Arnold	Computer Music 1997	jurymember in
Net Vision 2006	Tom Corby	awarded
Interactive Art 1996	Marius Watz	awarded
Siegfried A. Fruhauf	Computer Animation/VFX/Film 2008	jurymember in
u19 - freestyle computing 2006	Jiri Kuban	awarded
u19 – freestyle computing 2009	Oliver Spies	awarded
Computer Animation / Film / VFX 2009		awarded
cybergeneration-u19 freestyle computing 1999	Franz Berger	awarded
Robin Rimbaud	Digital Musics 2000	jurymember in
Computer Animation / Visual Effects 1998	Jeff Kleiser	awarded
Robert Glashüttner	u19 – freestyle computing 2009	jurymember in
.net 1997	Jane Prophet	awarded
Interactive Art 2009	Lenka Klimesova	awarded
Computer Animation / Visual Effects 2000	Lee Unkrich	awarded
Computer Animation 1995	David Atherton	awarded
Digital Musics 2003	Maja Solveig Kjelstrup Ratkje	awarded
Computer Graphics 1991	Sui Morita	awarded
Roy Ascott	Interactive Art 1993	jurymember in
u19-freestyle computing 2005	Paul Rauch	awarded
Interactive Art 2002	Gunther Schmidl	awarded
Herbert W. Franke	Computer Animation 1989	jurymember in
Computer Animation / Visual Effects 2004	Hiroshi Chida	awarded
Paddy Eason	Computer Animation / Visual Effects 2001	jurymember in
Digital Musics 2003	Whitehouse	awarded
Net Vision 2004	Jonah Brucker-Cohen	awarded
Loren Carpenter	Computer Graphics 1987	jurymember in
Interactive Art 1995	Maurice Benayoun	awarded
Interactive Art 2006	Joan Leandre	awarded
Media.Art.Research Award 2008	Joke Brouwer	awarded
u19 - freestyle computing 2007	Nina Streng	awarded
Antye Greie	Digital Musics 2003	jurymember in
Computer Animation 1995	François Launet	awarded
Herbert W. Franke	Computer Graphics 1987	jurymember in
Interactive Art 2009	Lawrence Hayhurst	awarded
Robert Pöcksteiner	cybergeneration-u19 freestyle computing 2001	jurymember in
Computer Graphics 1993	Miroslav Stuchlík	awarded
.net 1999	Daniel Julià Lundgren	awarded
Net Vision 2005	Hans Bernhard	awarded
Peter Weibel	Computer Animation 1993	jurymember in
Computer Music 1997	Chris Brown	awarded
Net Vision / Net Excellence 2002	Maia Gusberti	awarded
Computer Graphics 1992	Michael Kass	awarded
Brian Reffin Smith	Interactive Art 1990	jurymember in
Hybrid Art 2007	Blast Theory	awarded
Interactive Art 2009	Benjamin Maus	awarded
Net Vision 2005	Processing community	awarded
Computer Music 1990	Zorah Mari Bauer	awarded
Michael Naimark	Hybrid Art 2008	jurymember in
Interactive Art 2000	Bernd Lintermann	awarded
Interactive Art 2003	Scott Sona Snibbe	awarded
Computer Animation/Visual Effects 2005	Brad Bird	awarded
Computer Animation / Visual Effects 2000	Josselin Mahot	awarded
Jane Metcalfe	Digital Communities 2005	jurymember in
Computer Music 1998	Jøran Rudi	awarded
Computer Animation / Visual Effects 2001	Michael Engelhardt	awarded
Interactive Art 1999	Perry Hoberman	awarded
Interactive Art 2004	Zachary Lieberman	awarded
Interactive Art 1998	Jim Campbell	awarded
World Wide Web 1996	Andruid Kerne	awarded
Net Vision / Net Excellence 2003	ubermorgen	awarded
Computer Animation 1996	John Lasseter	awarded
Interactive Art 2001		awarded
.net 1997	Joan Heemskerk	awarded
Interactive Art 1996	Hiroo Iwata	awarded
Computer Graphics 1990	Mike North	awarded
William Buxton	Computeranimation / Visual Effects 2002	jurymember in
Computer Animation / Visual Effects 2004	Guillaume Herent	awarded
.net 2000	Tom Corby	awarded
Computer Animation 1992	Industrial Light & Magic (ILM)	awarded
Cornelia Sollfrank	Net Vision 2005	jurymember in
Net Vision 2004	Runme.org	awarded
Computer Animation 1996	Jean-Pierre Jeunet	awarded
Computer Animation 1993	Eku Wand	awarded
Rudolf John	Computer Animation / Visual Effects 1998	jurymember in
Computer Animation 1990	Nicola Sani	awarded
u19 - freestyle computing 2007	Irene Szankowsky	awarded
cybergeneration-u19 freestyle computing 2000	David Feiler	awarded
Thomas Köner	u19-freestyle computing 2005	jurymember in
Computer Animation 1989	Xavier Nicolas	awarded
Computer Animation / Visual Effects 2001		awarded
Naut Humon	Digital Musics 2004	jurymember in
Interactive Art 1999	Christoph Ebener	awarded
Alex Adriaansens	Interactive Art 1997	jurymember in
Loren Carpenter	Computer Graphics 1990	jurymember in
cybergeneration-u19 freestyle computing 2001	Martin Leonhartsberger	awarded
Sonia Cillari	Hybrid Art 2009	jurymember in
Net Vision / Net Excellence 2003	Agathe Jacquillat	awarded
Computer Animation 1994	Steve Williams	awarded
Interactive Art 1991	Don Ritter	awarded
[the next idea] Art and Technology Grant 2009	Anu Osva	awarded
Computer Graphics 1987	Gregory Foss	awarded
Interactive Art 2005	Michael Wilson	awarded
Charles Amirkhanian	Computer Music 1994	jurymember in
Interactive Art 2007	Shaina Anand	awarded
Hybrid Art 2009	David Hines	awarded
Computer Animation / Visual Effects 2004	Anja Perl	awarded
u19-freestyle computing 2005	Lilly Maier	awarded
Digital Musics 2003	Aaron Funk	awarded
Peter Weibel	Computer Animation 1992	jurymember in
Hybrid Art 2009	John Matthias	awarded
cybergeneration-u19 freestyle computing 2001	Andrea Gintner	awarded
Computer Animation 1989	Eihachiro Nakamae	awarded
u19 - freestyle computing 2008	Dominik Aumayr	awarded
Interactive Art 2004	Severin Hofmann	awarded
Media.Art.Research Award 2009	Simon Shaw-Miller	awarded
cybergeneration-u19 freestyle computing 2000	Kevin Ku	awarded
Digital Musics 2008	Howard Kenty	awarded
Digital Musics 2005	Kateryna Zavoloka	awarded
Computer Animation / Visual Effects 2000	John Lasseter	awarded
Interactive Art 1996	Luc Martinez	awarded
Computer Animation/Visual Effects 2005	Sebastian Stolle	awarded
Computer Animation / Film / VFX 2009		awarded
Computer Music 1998	Hildegard Westerkamp	awarded
Net Vision 2004	Chelsea Peretti	awarded
Net Vision / Net Excellence 2001	Sonic Team	awarded
Daniela Pühringer	[the next idea] Art- and Technology Grant 2005	jurymember in
Digital Musics 2006	Yoshihisa Suzuki	awarded
Sam Auinger	Computer Music 1997	jurymember in
World Wide Web 1996	Ed Stastny	awarded
Interactive Art 2003	Sybille Hauert	awarded
u19 – freestyle computing 2009	Leo Höckner	awarded
u19 - freestyle computing 2006	Gabriel Freinbichler	awarded
Jean-Baptiste Barrière	Computer Music 1987	jurymember in
Digital Communities 2007	Marek Walczak	awarded
Interactive Art 2006	Ursula Damm	awarded
Computer Graphics 1987	Frank Lüdicke	awarded
Computer Animation / Visual Effects 2004	Yoshihiko Dai	awarded
.net 1997	Bruce Damer	awarded
Interactive Art 2009	Yasushi Noguchi	awarded
Computer Animation / Visual Effects 2001	Xavier de lHermuzière	awarded
Computer Music 1995	Trevor Wishart	awarded
Matt Mullican	Computer Animation 1994	jurymember in
Computer Animation / Visual Effects 2003	H5	awarded
Computer Animation 1993	George Barber	awarded
Shu-Min Lin	Interactive Art 2007	jurymember in
Interactive Art 2009	Steven Benders	awarded
Interactive Art 1992	Robert Mulder	awarded
Computer Animation / Visual Effects 1998	Nobuo Takahashi	awarded
Michael Kass	Computer Animation 1993	jurymember in
Interactive Art 2004	ESG extended stage group	awarded
Digital Musics 2000	Stefan Nemeth	awarded
Computer Animation / Visual Effects 2001	Max Tourret	awarded
Interactive Art 1990	Norman T. White	awarded
Computer Animation 1995	Lamb & Company	awarded
Digital Musics 1999	Claude Pailliot	awarded
Interactive Art 2003	Ryota Kuwakubo	awarded
u19 - freestyle computing 2008	HBLA für künstlerische Gestaltung	awarded
u19 - freestyle computing 2007	Michael Wilhelm	awarded
Interactive Art 1993	Joseph Bates	awarded
Interactive Art 1997	Stefan Zeyen	awarded
Mark Dippé	Computer Animation / VFX / Film 2007	jurymember in
.net 1998	Andreas Trottmann	awarded
u19 - freestyle computing 2007	Christopher Tschusch	awarded
Computer Music 1994	Jonathan Impett	awarded
Hybrid Art 2007	Dmitry Gelfand	awarded
Digital Musics 2006	Joe Colley	awarded
Computer Animation / Visual Effects 2003	Mélina Milcent	awarded
Computer Animation / Visual Effects 2003	Satoshi Tomioka	awarded
u19 - freestyle computing 2007	Carina Treitinger	awarded
Computer Animation / Visual Effects 1998	Industrial Light & Magic (ILM)	awarded
.net 1999	Linus Thorvalds	awarded
Horst Hörtner	[the next idea] Art and Technology Grant 2009	jurymember in
Interactive Art 2000	Monty Cantsin	awarded
u19-freestyle computing 2004	BRG Waidhofen/Thaya	awarded
Interactive Art 1992	Dirk Lüsebrink	awarded
Net Vision / Net Excellence 2003	David Crawford	awarded
Morgan Russell	World Wide Web 1995	jurymember in
u19 - freestyle computing 2007	Edith Zöserl	awarded
Net Vision / Net Excellence 2003	Philip Pocock	awarded
Computer Animation 1995	Silvio Levy	awarded
Computer Animation / Visual Effects 1998	Yves Le Peillet	awarded
Digital Musics 2006	Vinylman	awarded
Alex Graham	Computer Animation 1987	jurymember in
Computeranimation / Visual Effects 2002	Digital Domain	awarded
Interactive Art 2009	Daniel Wetzel	awarded
Computer Animation/Visual Effects 2005	Daniel Jeannette	awarded
David Wessel	Computer Music 1990	jurymember in
Computer Animation / Visual Effects 2000	Guy Lampron	awarded
Net Vision / Net Excellence 2003	onesandzeros	awarded
Computer Music 1988	Kaija Saariaho	awarded
Computer Animation / Visual Effects 2000	Mark Stetson	awarded
Interactive Art 2002	Yasmin Sohrawardy	awarded
Rob Young	Digital Musics 2007	jurymember in
Computer Animation 1990	Alan Norton	awarded
Net Vision / Net Excellence 2003	Carlos J. Gomez de Llarena	awarded
Interactive Art 2002	David Rokeby	awarded
Computer Graphics 1994	Don McKay	awarded
Computer Animation 1994	Mark Dippé	awarded
Interactive Art 1993	Catherine Ikam	awarded
cybergeneration-u19 freestyle computing 2000	Lukas Fichtinger	awarded
Computer Animation 1992	Xavier Nicolas	awarded
Digital Musics 2000	Yasunao Tone	awarded
Digital Communities 2005	The Borneo Project	awarded
u19 - freestyle computing 2007	Julius Paul Lugmayr	awarded
Computer Animation / VFX / Film 2007	Tim Miller	awarded
Jean-Baptiste Barrière	Computer Music 1998	jurymember in
Computer Animation 1992	Leg Laboratory	awarded
Computer Animation / Visual Effects 2000	Fred Raimondi	awarded
Ama Dadson	Digital Communities 2004	jurymember in
Interactive Art 1999	Beate Garmer	awarded
Media.Art.Research Award 2009	Russell Brooke	awarded
Computer Animation 1992	Mark Dippé	awarded
Elaine W. Ng	Interactive Art 2005	jurymember in
Interactive Art 1997	Toshihiro Anzai	awarded
Computer Animation / Visual Effects 1999	Polygon Pictures	awarded
Computer Graphics 1989	Peter Reinartz	awarded
Hubert Bognermayr	Computer Music 1987	jurymember in
Digital Musics 2002	Raz Mesinai	awarded
Computer Graphics 1988	Norbert Speicher	awarded
u19 - freestyle computing 2008	Max Menschhorn	awarded
Hybrid Art 2009	Satoru Higa	awarded
Computer Music 1998	Natasha Barrett	awarded
Computer Animation/Visual Effects 2005	Scott Squires	awarded
Computer Graphics 1993	Scott Draves	awarded
Barbara Lippe	cybergeneration-u19 freestyle computing 2002	jurymember in
Computer Music 1992	Elsa Justel	awarded
Interactive Art 2002	Crispin Jones	awarded
Interactive Art 1996	Erwin Redl	awarded
Digital Musics 2003	Sachiko M	awarded
Dieter Daniels	Media.Art.Research Award 2008	jurymember in
Computer Graphics 1987	Brian Reffin Smith	awarded
Computer Graphics 1992	Andrew Witkin	awarded
u19 - freestyle computing 2008	Marc Heiss	awarded
John Halas	Computer Animation 1989	jurymember in
Computer Music 1990	Karlheinz Stockhausen	awarded
Sabine Himmelsbach	Interactive Art 2009	jurymember in
Werner Jauk	Computer Music 1994	jurymember in
Digital Musics 2009	Antoine Schmitt	awarded
Computer Animation 1988	Hiromi Watanabe	awarded
Gerhard Johann Lischka	Computer Animation 1992	jurymember in
Interactive Art 2006	Soichiro Mihara	awarded
Computer Animation / Visual Effects 2001	Loic Bail	awarded
Net Vision / Net Excellence 2002	Elan Lee	awarded
Computer Animation / Visual Effects 1999	William Le Henanff	awarded
Interactive Art 1997	Bertram Quosdorf	awarded
Computer Animation / Visual Effects 2003	Carlos Saldanha	awarded
cybergeneration-u19 freestyle computing 1998	Jürgen Bereuter	awarded
Computer Graphics 1994	Linda Dement	awarded
Interactive Art 2004	Hajime Tachibana	awarded
Computer Animation 1997	Chris Wedge	awarded
u19 - freestyle computing 2006	Alexander Niederklapfer	awarded
Computer Animation / Visual Effects 2000	David Gainey	awarded
Computer Animation / Visual Effects 1999	Lev Yilmaz	awarded
Computer Animation / Visual Effects 2000	Sébastien Rey	awarded
Digital Musics 2008	Sabine Ercklentz	awarded
u19 - freestyle computing 2006	Ehrentraud Hager	awarded
[the next idea] Art and Technology Grant 2009	Erich Berger	awarded
cybergeneration-u19 freestyle computing 2001	René Weirather	awarded
Interactive Art 2005	Eddo Stern	awarded
Computer Animation / Film / VFX 2009		awarded
cybergeneration-u19 freestyle computing 2001	Peter Strobl	awarded
Interactive Art 2007	Ashok Sukumaran	awarded
Hybrid Art 2009	Jane Grant	awarded
Computer Music 1993	Michael Rosas-Cobian	awarded
Interactive Art 2006	Yuko Mohri	awarded
.net 1998	Andy Deck	awarded
cybergeneration-u19 freestyle computing 2001	Jürgen Hoog	awarded
Digital Musics 2006	SUNN O)))	awarded
Ilka Lauchstädt	Interactive Art 1992	jurymember in
Digital Communities 2006	Fahamu	awarded
Computer Graphics 1989	Cliff Pickover	awarded
Digital Communities 2007	Ronaldo Lemos	awarded
u19 - freestyle computing 2006	Ralph Aichhorn	awarded
Computer Animation 1995	Steve Williams	awarded
Gabriele Kotsis	[the next idea] Art and Technology Grant 2007	jurymember in
Jens Hauser	Hybrid Art 2007	jurymember in
Bob Ostertag	Computer Music 1997	jurymember in
u19 - freestyle computing 2008	Selina Fanninger	awarded
Computer Music 1989	François Bayle	awarded
Peter Higgins	Interactive Art 2001	jurymember in
Geetha Narayanan	Interactive Art 2007	jurymember in
Joichi Ito	.net 1997	jurymember in
Interactive Art 2002	Ranjit Makkuni	awarded
Interactive Art 2002	Tilman Reiff	awarded
Ben Neill	Computer Music 1997	jurymember in
Hybrid Art 2007	Andrew Gracie	awarded
Digital Musics 1999	Peter Rehberg	awarded
Sirikit Amann	cybergeneration-u19 freestyle computing 2002	jurymember in
Anita Gurumurthy	Digital Communities 2005	jurymember in
Digital Musics 2006	Frosen Pine & Meu	awarded
Computer Music 1993	Jacques Lejeune	awarded
Computer Animation/Visual Effects 2006	Philippe Grammaticopoulos	awarded
Digital Musics 1999	Masami Akita	awarded
Interactive Art 1991	Jim Pallas	awarded
Computer Animation / Visual Effects 1998	Phil Tippett	awarded
Net Vision 2005	Fang-Yu Lin	awarded
Interactive Art 1996	Nobuya Suzuki	awarded
Computer Graphics 1988	Johann Jascha	awarded
